,Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
0,#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
53,ETH,2008-03-01,2008-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2008.0,2008,,34.700468,X,base year is 2015
54,ETH,2009-03-01,2009-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2009.0,2009,,43.900823,X,base year is 2015
55,ETH,2010-03-01,2010-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2010.0,2010,,43.842095,X,base year is 2015
56,ETH,2011-03-01,2011-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2011.0,2011,,55.040159,X,base year is 2015
57,ETH,2012-03-01,2012-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2012.0,2012,,77.650892,X,base year is 2015
58,ETH,2013-03-01,2013-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2013.0,2013,,81.712539,X,base year is 2015
59,ETH,2014-03-01,2014-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2014.0,2014,,86.660497,X,base year is 2015
60,ETH,2015-03-01,2015-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2015.0,2015,,95.409333,X,base year is 2015
61,ETH,2016-03-01,2016-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2016.0,2016,,102.383821,X,base year is 2015
62,ETH,2017-03-01,2017-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2017.0,2017,,113.801797,X,base year is 2015
63,ETH,2018-03-01,2018-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2018.0,2018,,129.354352,X,base year is 2015
64,ETH,2019-03-01,2019-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2019.0,2019,,144.048835,X,base year is 2015
65,ETH,2020-03-01,2020-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2020.0,2020,,182.876592,X,base year is 2015
66,ETH,2021-03-01,2021-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2021.0,2021,,220.541312,F,base year is 2015
67,ETH,2000-04-01,2000-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2000.0,2000,,13.414488,F,base year is 2015
68,ETH,2001-04-01,2001-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2001.0,2001,,13.251019,X,base year is 2015
69,ETH,2002-04-01,2002-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2002.0,2002,,12.301561,X,base year is 2015
70,ETH,2003-04-01,2003-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2003.0,2003,,16.269162,X,base year is 2015
71,ETH,2004-04-01,2004-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2004.0,2004,,17.001669,X,base year is 2015
72,ETH,2005-04-01,2005-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2005.0,2005,,18.715096,X,base year is 2015
73,ETH,2006-04-01,2006-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2006.0,2006,,20.559338,X,base year is 2015
74,ETH,2007-04-01,2007-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2007.0,2007,,25.436393,X,base year is 2015
75,ETH,2008-04-01,2008-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2008.0,2008,,35.381126,X,base year is 2015
76,ETH,2009-04-01,2009-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2009.0,2009,,44.356885,X,base year is 2015
77,ETH,2010-04-01,2010-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2010.0,2010,,43.984882,X,base year is 2015
78,ETH,2011-04-01,2011-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2011.0,2011,,58.134692,X,base year is 2015
79,ETH,2012-04-01,2012-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2012.0,2012,,80.255098,X,base year is 2015
80,ETH,2013-04-01,2013-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2013.0,2013,,81.502780,X,base year is 2015
81,ETH,2014-04-01,2014-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2014.0,2014,,88.064038,X,base year is 2015
82,ETH,2015-04-01,2015-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2015.0,2015,,97.587834,X,base year is 2015
83,ETH,2016-04-01,2016-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2016.0,2016,,103.667547,X,base year is 2015
84,ETH,2017-04-01,2017-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2017.0,2017,,117.126826,X,base year is 2015
85,ETH,2018-04-01,2018-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2018.0,2018,,130.426942,X,base year is 2015
86,ETH,2019-04-01,2019-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2019.0,2019,,149.304526,X,base year is 2015
87,ETH,2020-04-01,2020-04-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2020.0,2020,,187.917765,X,base year is 2015
88,ETH,2000-05-01,2000-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2000.0,2000,,13.417081,F,base year is 2015
89,ETH,2001-05-01,2001-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2001.0,2001,,13.082786,X,base year is 2015
90,ETH,2002-05-01,2002-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2002.0,2002,,12.310530,X,base year is 2015
91,ETH,2003-05-01,2003-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2003.0,2003,,16.338942,X,base year is 2015
92,ETH,2004-05-01,2004-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2004.0,2004,,17.161003,X,base year is 2015
93,ETH,2005-05-01,2005-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2005.0,2005,,18.930469,X,base year is 2015
94,ETH,2006-05-01,2006-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2006.0,2006,,21.455704,X,base year is 2015
95,ETH,2007-05-01,2007-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2007.0,2007,,25.490254,X,base year is 2015
96,ETH,2008-05-01,2008-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2008.0,2008,,39.282164,X,base year is 2015
97,ETH,2009-05-01,2009-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2009.0,2009,,43.845082,X,base year is 2015
98,ETH,2010-05-01,2010-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2010.0,2010,,43.866771,X,base year is 2015
99,ETH,2011-05-01,2011-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2011.0,2011,,61.725294,X,base year is 2015
100,ETH,2012-05-01,2012-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2012.0,2012,,81.120797,X,base year is 2015
101,ETH,2013-05-01,2013-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2013.0,2013,,83.841096,X,base year is 2015
102,ETH,2014-05-01,2014-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2014.0,2014,,89.167635,X,base year is 2015
103,ETH,2015-05-01,2015-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2015.0,2015,,98.204814,X,base year is 2015
104,ETH,2016-05-01,2016-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2016.0,2016,,106.418659,X,base year is 2015
105,ETH,2017-05-01,2017-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2017.0,2017,,117.234085,X,base year is 2015
106,ETH,2018-05-01,2018-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2018.0,2018,,131.177755,X,base year is 2015
107,ETH,2019-05-01,2019-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2019.0,2019,,158.314281,X,base year is 2015
108,ETH,2020-05-01,2020-05-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2020.0,2020,,190.491981,X,base year is 2015
109,ETH,2000-06-01,2000-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2000.0,2000,,13.419674,F,base year is 2015
110,ETH,2001-06-01,2001-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2001.0,2001,,12.989155,X,base year is 2015
111,ETH,2002-06-01,2002-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2002.0,2002,,12.700422,X,base year is 2015
112,ETH,2003-06-01,2003-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2003.0,2003,,16.977705,X,base year is 2015
113,ETH,2004-06-01,2004-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2004.0,2004,,17.354200,X,base year is 2015
114,ETH,2005-06-01,2005-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2005.0,2005,,19.783314,X,base year is 2015
115,ETH,2006-06-01,2006-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2006.0,2006,,21.893028,X,base year is 2015
116,ETH,2007-06-01,2007-06-30,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2007.0,2007,,25.875162,X,base year is 2015
